Industry or Process,Primary Source,Byproduct Stream,Process Stage of Generation,Valorization Pathways or Processing,Typical issues,Techno–Economic Aspects,End–use Applications,Associated Critical Raw Materials (CRMs),Associated Strategic Raw Materials (SRMs),Average Chemical Composition,Chemical Formulae,Elemental Composition,Physical State of Byproducts,Production Content,pH Level,Water Content
Copper,"Chalcopyrite (CuFeS2), bornite (Cu5FeS4) [53, 48]",Tailings,"Beneficiation – flotation or gravity or magnetic separation [24, 4, 25]","Re–flotation to re–capture remaining sulfide minerals and residual metals [4,25]
Alkali activation to convert aluminosilicate phases into geopolymer binders [42]
Thermal roasting to decompose sulfides prior leaching [27]
Bioleaching using microbial oxidation to mobilize Cu, Zn or Co from silicate and sulfide phases [23]","Very large volumes generated, mineralogical variability [4, 25]","Through reprocessing, large secondary resources are generated [24, 25]","Bricks or tiles, geopolymer blocks, fine aggregates, low–C cement, nano–Cu biosynthesis [4, 14, 24]","V, Sc, Ta, Nb, REEs – LREEs and HREEs (La, Y, Eu, Ho, Er, Tm, Yb, Lu) [48]","Ni (battery grade), Co, Cu, REEs for magnets (Nd, Pr, Dy, Tb, Gd, Sm, Ce) [48]","SiO2 (11.2–75.0%)
Fe2O3 (2.46–85.3%)
Al2O3 (4.24–19%)
CaO (0.16–31.85%)
Cu (often ~1.11%) [14]","Quartz (SiO2​)
Pyrite (FeS2​)
Gypsum (CaSO4.2H2O)
Chlorite
Sanidine
Muscovite
Magnetite
Biotite [14]","Si, Fe, Al, Ca, Mg, S, Ti, Cu, Mn [14]","Slurry state: fine suspended materials (1–600 μm) in water, dry stack if filtered [4]",Millions of tons annually,"6.7–10.0: due to Si–rich matrix [46]
Acidic (when pH drops below 3.5), Acid Mine Drainage (AMD) risk if sulfide–rich","40.0–60.0%: initial slurry state
7.0–9.0%: water absorption capacity [4]"
Copper,"Chalcopyrite (CuFeS2), bornite (Cu5FeS4) [53, 48]",Copper pyro metallurgical solid waste,"Copper pyrometallurgy – smelting or refining [53, 18]","Stepwise hydrometallurgical leaching to dissolve Cu, Cd, Zn and traceable precious metals [53]
Slag reduction (Fe and Cu alloy formation) to liberate metal entrapped in silicate phases [33]
Purification of Zn–bearing streams for secondary metal recovery [33]","Complex matrix, requires multi–stage processing [53]",High value extraction of Au–Ag–Cu [53],"Zn compounds, recovery of Cu, Au, Ag [53]",As [53],Cu [53],"Cu (0.25–20%)
Fe
SiO2 (fayalitic matrix) [53]","Fayalite (Fe2​SiO4​)
Magnetite (Fe3​O4​)
Wüstite (FeO) [35]","Cu, Zn, Cd, Si, Cd, O, Fe, Au, Ag, Se, Te [53]",Solid state: granular slag or ash [53],"Part of 2–3 t of solid waste generated from refinning copper which includes slag, ash and slime [53]",Alkaline: standard fayalite–type solid residues [53],Low: standard solid metallurgical residue [53]
Copper or Lead or Zinc,"Chalcopyrite (CuFeS2), galena (PbS), sphalerite (ZnS) [7, 35, 48]",Anode slimes,"Electrorefining – anode slime collection [9, 50]","Oxidative roasting to break down refractory selenides or tellurides prior to leaching [50]
Sequential leaching to selectively recover Ag, Se, Te, Au, and PGMs [6]
Electrorefining to obtain high–purity Au or Ag and remaining Cu [50]","Complex multi–stage refining processes, hazardous Se or Te compounds presence [50, 9]","Extremely rich in noble metals leading to major economic driver [50, 9]","Refined Au, Ag, Se, Te, PGMs' concentrates [50, 9]","As, PGMs [50]","PGMs (Pt, Pd, Rh, Ru, Ir), Cu [50]","Ag (1–28%)
Au (0.1–1.5%)
PGMs (~70 g/t)
Se, Te, Cu, Pb 
Bulk Cu (10–50 wt%) [50]","Naumannite (Ag2​Se)
Hessite (Ag2​Te)
Eucairite (CuAgSe)
Petzite (Ag3​AuSe2​)
PbSO4​ [50]","Cu, Ag, Au, Pb, Se, Te, As, Sb, Bi, Ni, PGMs (Pt, Pd, Rh, Ru, Ir) [50]",Wet solid or slime state: concentrated residue from electrolytic refining [50],"55,000 t/year globally  [50]",Acidic: approximately pH 1.75 is optimal for metal recovery) [50],High: wet slime from electrolytic refining required dewatering [50]
Zinc hydrometallurgy,"Sphalerite (ZnS), EAF dust (zincite, franklinite) [48, 35]",Jarosite or goethite leach residues,"Zn hydrometallurgy, iron removal step [37, 7, 35]","Acidic or alkaline leaching to dissolve Zn and Pb or Ag retained in jarosite or goethite matrix [7]
Thermal conversion to hematite or magnetite to reduce hazardous leachability and improve stability [7]
Stabilization of toxic elements through phase transformation [8]","Hazardous presence of Pb, Cd or Cr, low metal grade [48]",Value addition through hematite or magnetite production [48],"Zn, Pb Ag recovery, pigment magnetite [48]","As, Sc, V, Sb [44]",Ni (battery grade) [44],"Typically Zn–leach residues by hydrometallurgical process (Fe, Zn, Pb, S, In, Ag, Au) [50,42]","Ammonium jarosite (NH4​Fe3​(SO4​)2​(OH)6​)
Goethite (FeOOH)
Magnetite (Fe3​O4​) [44]","Fe, Zn, Pb, S, In, Ag, Au, Cu, As, Cd, Hg, Sb, Ba [35]","Wet solid or sludge state: precipitated residue, often presented as filter cake [30]",Secondary industrial process waste from Zn/Fe leaching [23],Acidic: sulfate–rich process with precipitate [30],High: precipitate handled as wet filter cake) [30]
Lead or Zinc smelting,"Galena (PbS), sphalerite (ZnS) [35, 40]",Waelz oxide,"Waelz kiln treatment – volatile oxide fraction [40, 35]","Hydrometallurgical purification to. Produce market grade ZnO from Zn–ferrite dust condensates [40]
Volatilisation separation during Waelz kiln processing to isolate Zn and Pb oxide phases [40]","Halide contamination, purity control [40, 35]",Market–ready ZnO product with high purity [40],"High–purity ZnO, Pb concentrates [35, 40]",Not applicable,Not applicable,"Zn (highly enriched)
Pb, Cd
Halides (Cl, F) [40]","Zincite (ZnO)
Halite (NaCl)
Sylvite (KCl)
Fluorite (CaF2) [35]","Zn, Pb, Cd, Cl, F, Na, K, As [40,35]",Solid state: crude ZnO fine powder or dust [35],"250,000 t/year Zn [40]",Alkaline: Crude ZnO–rich powder [35],Low: fine dry crude ZnO powder [35]
Lead or Zinc smelting,"EAF dust and Zn–bearing scraps [35, 40]",Waelz slag,"Waelz kiln treatment – non–volatile slag [40, 35]","Oxidation roasting to convert unstable sulfide or oxide phases into stable anhydrite or matrix phases [40]
Carbothermic reduction for Fe or Mn recovery from slag matrix [40]
Stabilization for secondary construction aggregate after detoxification [30]","Heave metal leachability, requires stabilization [40]",Economic driver due to Mn and Fe recovery [40],"Pig iron, Zn dust, secondary aggregates [40]","V, Mn (battery grade) [40]",Mn (battery grade) [40],"Fe (46.35%)
Ca (14.34%)
C (8.09%)
Mn (7.70%)
Si (5.98%)
Zn (3.64%) [40]","Native iron (Fe)
Wüstite (FeO)
Coke (or graphite)
Olivine [40]","Fe, Ca, C, Mn, Si, Zn, Mg, Al, S, As, Cd, Cr, Cu, Mo, Ni, Pb, V [40]",Solid state: granular or stony clinker [40],"~800,000 tons/year in Europe [40]",5.60: pH of TCLP (Toxicity Characteristics Leaching Procedure) extract or leachate [40],Low: solid clinker or stony residue [40]
Aluminum,"Bauxite (Al(OH)3) and impurities [16, 32]",Red mud (bauxite residues),"Alumina refining (Bayer's process) [49, 47, 1, 32]","High–temperature reduction (roasting) for converting Fe and Ti bearing minerals into recoverable phases [49]
Hydrometallurgical leaching for selective extraction of Fe, Al, Ti, Sc and REEs [45, 28]
Magnetic separation to recover magnetite formed during reduction processes [28]
Accelerated carbonation to reduce alkalinity and stabilises reactive species [49]
Geopolymerisation to transform silicate or aluminate phases into cementitious binders [45]","High alkalinity, large stockpiles, variable composition [32, 47]","Major economic opportunity represented by REEs, Sc, Ti [49, 47, 41]","Pig iron, alumina, TiO2, Sc or REE concentrates, Supplementary Cementitious Material (SCM), bricks or tiles, pigments, x–ray shielding tiles [32, 21]","Sc, Al, V, Ta, REEs – LREEs and HREEs (La, Ce, Nd) [32, 47]","Ti metal, REES for magnets (Nd, Dy, Pr, Ce, Tb, Gd, Sm) [32]","Fe2​O3​ (23–60%)
Al2O3 (12–30%)
SiO2​ (5–17%)
TiO2​ (1–11%)
Na2​O (1–10%) [16]","Hematite (Fe2​O3​)
Goethite (FeOOH)
Cancrinite (Na6​Ca2​Al6​Si6​O24​(CO3​)2​)
Gibbsite (Al(OH)3)
Diaspore
Boehmite
Perovskite (CaTiO3) [1, 47]","Fe, Al, Ca, Si, Ti, Na, Sc, V, Ga, Th, U, REEs, Mg, Mn, P, S, C [41, 47]","Wet solid or sludge state: highly alkaline mud or slurry, dry stacked when thickened [32]","1.0–1.6 tonnes / tonne of alumina production [49]
~5 Mt/year global aluminium dross [36]","9.0–13.0: Extremely alkaline [32], neutralized using seawater neutralization or carbon dioxide sequestration for safe discharge or construction purposes [36]","7.5 wt%: residual moisture present in filter–pressed cake
40.0–60.0%: slurry state [21]"
Nickel,"Laterites ore (nickeliferous limonite), Pentlandite ((Ni,Fe)9S8) [48, 44]",High–Pressure Acid Leaching (HPAL) tailings or Fe–oxyhydroxide residues,"Nickel laterite – High Pressure Acid Leaching (HPAL) [48, 44]","Selective acid or alkali leaching to recover Ni, Co, Sc, and REEs from Fe–oxyhydroxide matrix [48]
Neutralization or precipitation to stabilize dissolved metals and reduce process acidity [21]
Geopolymer formation (alkali activation) for construction applications [21]",Acid–consuming gangue [ geochemical instability [49],"Sc value dominates the economies [48, 41]","Sc oxide, ferronickel alloy, geopolymer binders, road base, tiles [41,48]","Sc, V [41]","Ni (battery grade), Co [48]","Iron–oxyhydroxides (Fe ~41.9%) with residual Mg (~1.8%), Al (~2.2%), Ni (~1.2%) and Co (traces) [23]","Goethite (FeO(OH))
Hematite (Fe2O3)
Talc
Birnessite
Bayerite (Al(OH)3) [23]","Fe, Mg, Al, Ni, Co, Mn, Cr, Si, O [23]",Solid or slurry state: fine–grained oxyhydroxide residue [48],Unavailable data,Near neutral–alkaline: prior to industrial neutralization) [7],High: handled as wet slurry or neutralized filter cake [48]
Ferrochrome (Fe Cr),"Chromite concentrates (FeCr2O4) [33, 23]",Ferrochrome slag,"FeCr smelting – submerged arc furnaces [13, 23]","Alkali roasting to convert Cr into extractable sodium chromate or chromite species [51]
Magnetic separation to recover Fe–rich or Cr–rich spinel fractions [21]
Accelerated carbonation to immobilize Cr(VI) and stabilizes the material [51]","Cr(III) or Cr(VI) stability, spinel bound Cr [48]",Cr(VI) management cost with Cr recovery value [48],"Ferrochromite alloy, alkali chromates, aggregates, cementitious filler [48]",Not applicable,Not applicable,"MgO
Al2O3
SiO2
CaO
Cr (residual spinel) [7,48]","Enstatite (FMgSiO3​)
Forsterite (MgF2​SiO4​)
Magnesiochromite (MgCr2​O4​)
Chromite (FeCr2O4) [7, 48]","Si, Fe, Al, Mg, Ca, Cr, Ti, Mn [48]",Solid state: stony or granular aggregate [48],Unavailable data,Alkaline: refractory oxide matrix [48],Negligible: refractory solid aggregates [48]
Ferromanganese (Fe Mn),"Manganese ores (MnO2, Mn3O4) [7, 13]",Ferro manganese slag,"FeMn smelting – submerged arc furnaces [13, 23]","Acidic leaching to extract Mn from its silicate phases [20]
Roasting to convert Mn–bearing phases into more leachable oxides [44]
Carbonate precipitation to obtain MnCO3 or MnSO4 intermediates [20]","Variable mineralogy, Leaching of Mn [13]",Mn recovery for battery–grade chemicals [13],"Electrolytic Mn metal, MnSO4, MnCO3, Supplementary Cementitious Material (SCM) [13]",Not applicable,Mn (battery grade) [13],"MnO
SiO2
CaO
Al2O3
MgO
REEs (traces upto 3370ppm) [13]","Tephroite (Mn2​SiO4​)
Spinel [(Mn,Fe)(V,Cr)2​O4​]
Manganosite (MnO​)
Hausmannite (potential) [58, 11]","Mn, Si, Ca, Al, Mg, REEs (La, Ce, Nd, Pr etc.), Fe, Ba, P [13]",Solid state: granular or stony aggregate [13],Unavailable data,Alkaline: stepwise precipitate process at pH 2.5–5.65 approximately [13],Negligible: solid stony aggregates [13]
Ferrosilicon (Fe Si),Quartz (SiO2) and carbon reductant [23],Ferro silicon slag,"FeSi smelting – submerged arc furnaces [28, 13]","Si extraction through hydrometallurgical or thermal treatment [20]
Return to furnace as reductant or silicon source [ 21]
Crushing into graded aggregates for low–value construction filler applications [20]","Silica phase variability, entrained metals [23]",Limited economic incentives unless viable Si extraction [23],"Silicates raw material, aggregates, amorphous Si [23]",Not applicable,Si metal [23],"SiO2​
CaO
Al2O3
MgO
MnO
Fe–Si alloys [23]","Larnite (Ca2SiO4)
Gehlenite (Ca2Al2SiO7)
Calcite
Magnesium oxide [23]","Si, Ca, Fe, Al, Mg, Mn [23]",Solid state: granular or rocky aggregate [23],Unavailable data,Alkaline: dominant dicalcium silicate phases [23],Negligible: solid stony aggregates [23]
